"Rank","Team Name","Goal Difference","Points"
"1","Liverpool","52","103"
"2","Man City","54","85"
"3","Chelsea","18","68"
"4","Man United","20","64"
"5","Leicester","29","63"
"6","Tottenham","13","60"
"7","Sheffield United","7","58"
"8","Arsenal","6","54"
"9","Wolves","6","51"
"10","Burnley","-7","49"
"11","Crystal Palace","-8","47"
"12","Southampton","-16","46"
"13","Everton","-10","46"
"14","Newcastle","-22","39"
"15","West Ham","-16","35"
"16","Brighton","-15","35"
"17","Bournemouth","-24","33"
"18","Watford","-24","32"
"19","Aston Villa","-31","29"
"20","Norwich","-32","27"
